variant,rank,account
primary_30_35_15_20,1,BtcKing1111
primary_30_35_15_20,2,Wsemenske
primary_30_35_15_20,3,tkwh
primary_30_35_15_20,4,Any-Regular2960
primary_30_35_15_20,5,Covetoast
primary_30_35_15_20,6,skydiver19
primary_30_35_15_20,7,sirspeedy99
primary_30_35_15_20,8,lol_camis
primary_30_35_15_20,9,tzacPACO
primary_30_35_15_20,10,abercrombezie
primary_30_35_15_20,11,onebtcisonebtc
primary_30_35_15_20,12,vnielz
primary_30_35_15_20,13,Sweet-Hat-7946
primary_30_35_15_20,14,harvested
primary_30_35_15_20,15,Local_Doubt_4029
primary_30_35_15_20,16,BeefSupreme2
primary_30_35_15_20,17,iPurchaseBitcoin
primary_30_35_15_20,18,Odd-Following-247
primary_30_35_15_20,19,Different_Walrus_574
primary_30_35_15_20,20,DuckDuckMosss
alt_40_40_10_10,1,sirspeedy99
alt_40_40_10_10,2,tkwh
alt_40_40_10_10,3,BtcKing1111
alt_40_40_10_10,4,Wsemenske
alt_40_40_10_10,5,skydiver19
alt_40_40_10_10,6,tzacPACO
alt_40_40_10_10,7,Local_Doubt_4029
alt_40_40_10_10,8,lol_camis
alt_40_40_10_10,9,Covetoast
alt_40_40_10_10,10,JG87919
alt_40_40_10_10,11,Any-Regular2960
alt_40_40_10_10,12,vnielz
alt_40_40_10_10,13,XBThodler
alt_40_40_10_10,14,Sweet-Hat-7946
alt_40_40_10_10,15,harvested
alt_40_40_10_10,16,abercrombezie
alt_40_40_10_10,17,onebtcisonebtc
alt_40_40_10_10,18,BeefSupreme2
alt_40_40_10_10,19,Lost-Trouble-4971
alt_40_40_10_10,20,DuckDuckMosss
no_manipulative_00_50_20_30,1,abercrombezie
no_manipulative_00_50_20_30,2,Any-Regular2960
no_manipulative_00_50_20_30,3,True-Whereas6812
no_manipulative_00_50_20_30,4,onebtcisonebtc
no_manipulative_00_50_20_30,5,BtcKing1111
no_manipulative_00_50_20_30,6,Wsemenske
no_manipulative_00_50_20_30,7,Possible_Spy
no_manipulative_00_50_20_30,8,lol_camis
no_manipulative_00_50_20_30,9,iPurchaseBitcoin
no_manipulative_00_50_20_30,10,skydiver19
no_manipulative_00_50_20_30,11,harvested
no_manipulative_00_50_20_30,12,Covetoast
no_manipulative_00_50_20_30,13,vnielz
no_manipulative_00_50_20_30,14,tkwh
no_manipulative_00_50_20_30,15,Obvireal
no_manipulative_00_50_20_30,16,tzacPACO
no_manipulative_00_50_20_30,17,Odd-Following-247
no_manipulative_00_50_20_30,18,flavourantvagrant
no_manipulative_00_50_20_30,19,DreamingTooLong
no_manipulative_00_50_20_30,20,Sweet-Hat-7946
low_manipulative_10_45_20_25,1,Any-Regular2960
low_manipulative_10_45_20_25,2,BtcKing1111
low_manipulative_10_45_20_25,3,abercrombezie
low_manipulative_10_45_20_25,4,Wsemenske
low_manipulative_10_45_20_25,5,onebtcisonebtc
low_manipulative_10_45_20_25,6,lol_camis
low_manipulative_10_45_20_25,7,True-Whereas6812
low_manipulative_10_45_20_25,8,skydiver19
low_manipulative_10_45_20_25,9,Covetoast
low_manipulative_10_45_20_25,10,tkwh
low_manipulative_10_45_20_25,11,harvested
low_manipulative_10_45_20_25,12,vnielz
low_manipulative_10_45_20_25,13,iPurchaseBitcoin
low_manipulative_10_45_20_25,14,tzacPACO
low_manipulative_10_45_20_25,15,Possible_Spy
low_manipulative_10_45_20_25,16,Sweet-Hat-7946
low_manipulative_10_45_20_25,17,Obvireal
low_manipulative_10_45_20_25,18,sirspeedy99
low_manipulative_10_45_20_25,19,Odd-Following-247
low_manipulative_10_45_20_25,20,Local_Doubt_4029
coordination_heavy_20_50_10_20,1,BtcKing1111
coordination_heavy_20_50_10_20,2,abercrombezie
coordination_heavy_20_50_10_20,3,tkwh
coordination_heavy_20_50_10_20,4,Wsemenske
coordination_heavy_20_50_10_20,5,lol_camis
coordination_heavy_20_50_10_20,6,Any-Regular2960
coordination_heavy_20_50_10_20,7,onebtcisonebtc
coordination_heavy_20_50_10_20,8,skydiver19
coordination_heavy_20_50_10_20,9,sirspeedy99
coordination_heavy_20_50_10_20,10,Covetoast
coordination_heavy_20_50_10_20,11,harvested
coordination_heavy_20_50_10_20,12,vnielz
coordination_heavy_20_50_10_20,13,tzacPACO
coordination_heavy_20_50_10_20,14,Local_Doubt_4029
coordination_heavy_20_50_10_20,15,Sweet-Hat-7946
coordination_heavy_20_50_10_20,16,iPurchaseBitcoin
coordination_heavy_20_50_10_20,17,True-Whereas6812
coordination_heavy_20_50_10_20,18,Odd-Following-247
coordination_heavy_20_50_10_20,19,pieredforlife
coordination_heavy_20_50_10_20,20,BeefSupreme2
automation_heavy_20_25_15_40,1,Wsemenske
automation_heavy_20_25_15_40,2,Any-Regular2960
automation_heavy_20_25_15_40,3,BtcKing1111
automation_heavy_20_25_15_40,4,Covetoast
automation_heavy_20_25_15_40,5,lol_camis
automation_heavy_20_25_15_40,6,abercrombezie
automation_heavy_20_25_15_40,7,skydiver19
automation_heavy_20_25_15_40,8,Obvireal
automation_heavy_20_25_15_40,9,iPurchaseBitcoin
automation_heavy_20_25_15_40,10,onebtcisonebtc
automation_heavy_20_25_15_40,11,Illustrious_Stand319
automation_heavy_20_25_15_40,12,tzacPACO
automation_heavy_20_25_15_40,13,thesatdaddy
automation_heavy_20_25_15_40,14,Different_Walrus_574
automation_heavy_20_25_15_40,15,tkwh
automation_heavy_20_25_15_40,16,Sweet-Hat-7946
automation_heavy_20_25_15_40,17,True-Whereas6812
automation_heavy_20_25_15_40,18,JerryLeeDog
automation_heavy_20_25_15_40,19,harvested
automation_heavy_20_25_15_40,20,BeefSupreme2
