seed,candidate_member_count,tiered_expansion_member_count,tier1_co_negative_count,tier2_tag_with_structure_count,tier3_trigger_with_support_count,tier4_two_hop_count,co_target_neighbor_count,co_negative_neighbor_count,tag_similarity_neighbor_count,internal_coordination_edge_count,shared_negative_target_count,avg_rhetorical_score,avg_non_neutral_post_ratio,avg_oppositional_stance_ratio,automation_anomaly_fraction,avg_anomaly_score,total_comment_count,total_analyzed_post_count
BtcKing1111,1,1,0,0,0,0,15,6,15,0,13,51.15384615384615,1.0,0.4128440366972477,1.0,-9.71310178249124,109.0,13.0
Wsemenske,2,2,1,0,0,0,15,5,11,1,9,15.0,0.5,0.45512820512820507,0.5,-8.619740151032481,32.0,3.0
tkwh,6,6,4,0,0,1,15,11,15,6,19,8.333333333333334,0.16666666666666666,0.5435897435897435,0.16666666666666666,1.282562134168482,82.0,3.0
Any-Regular2960,3,3,2,0,0,0,15,3,0,2,4,11.666666666666666,0.3333333333333333,0.3732323232323232,0.3333333333333333,-25.845304394268467,60.0,1.0
Covetoast,2,2,1,0,0,0,15,3,12,2,8,25.625,0.5,0.330952380952381,0.5,-6.981450587347409,47.0,4.0
skydiver19,1,1,0,0,0,0,14,12,12,0,20,28.333333333333332,1.0,0.6571428571428571,1.0,-7.249151979652611,35.0,3.0
sirspeedy99,1,1,0,0,0,0,14,11,0,0,17,55.0,1.0,0.6666666666666666,1.0,-3.153506632031714,36.0,1.0
lol_camis,3,3,2,0,0,0,15,15,15,3,25,9.166666666666666,0.3333333333333333,0.5941176470588235,0.3333333333333333,-1.6741794506748302,98.0,3.0
tzacPACO,3,3,2,0,0,0,14,5,11,3,8,18.88888888888889,0.3333333333333333,0.48033033033033035,0.3333333333333333,-0.9884326929164323,64.0,3.0
abercrombezie,4,4,3,0,0,0,15,11,12,3,14,5.833333333333333,0.25,0.6704545454545454,0.25,0.04413136701327425,86.0,3.0
onebtcisonebtc,7,7,5,0,0,1,15,6,15,8,8,5.0,0.2857142857142857,0.35372694532358395,0.2857142857142857,0.3311466538508489,199.0,5.0
vnielz,1,1,0,0,0,0,15,6,15,0,8,33.333333333333336,1.0,0.281437125748503,1.0,-6.270714737055183,167.0,3.0
Sweet-Hat-7946,1,1,0,0,0,0,15,4,15,0,9,35.714285714285715,1.0,0.4328358208955223,1.0,-7.089480297377001,67.0,7.0
harvested,3,3,2,0,0,0,15,7,14,4,11,11.666666666666666,0.3333333333333333,0.14669964034755315,0.6666666666666666,-5.397175938767474,377.0,2.0
Local_Doubt_4029,7,7,6,0,0,0,15,7,15,8,12,16.309523809523807,0.2857142857142857,0.669501133786848,0.14285714285714285,1.7583801348766743,77.0,6.0
BeefSupreme2,1,1,0,0,0,0,15,3,13,0,7,36.666666666666664,1.0,0.5714285714285714,1.0,-8.308840997891988,21.0,3.0
iPurchaseBitcoin,6,6,2,0,0,3,15,3,15,10,6,7.66025641025641,0.2916666666666667,0.4532689389278535,0.5,-0.814423827751595,199.0,30.0
Odd-Following-247,1,1,0,0,0,0,11,7,15,0,15,26.0,1.0,0.4444444444444444,1.0,-7.426678893806956,99.0,5.0
Different_Walrus_574,1,1,0,0,0,0,11,5,14,0,11,47.5,1.0,0.2138728323699422,1.0,-10.63008086920533,173.0,2.0
DuckDuckMosss,1,1,0,0,0,0,15,2,15,0,9,45.0,1.0,0.45,1.0,-6.338702423575398,80.0,8.0
